questions,choices,answers,model,results,prompts
What is the best source of evidence to identify persistence established by an attacker on Windows?,"('Registry Run/RunOnce keys', 'Startup folder contents', 'Services registry entries', 'Scheduled tasks')",D,gpt-4,A,"What is the best source of evidence to identify persistence established by an attacker on Windows?
A. Registry Run/RunOnce keys
B. Startup folder contents
C. Services registry entries
D. Scheduled tasks
Answer:"
You're analyzing logs for evidence of a phishing email delivering malware. What is the best source of evidence to confirm execution?,"('Windows Security event 4688 with a suspicious command line', 'Sysmon Event ID 3 with a suspicious network connection', 'Powerrshell Module Logging events', 'Windows Security event 4648 with explicit credentials')",A,gpt-4,A,"You're analyzing logs for evidence of a phishing email delivering malware. What is the best source of evidence to confirm execution?
A. Windows Security event 4688 with a suspicious command line
B. Sysmon Event ID 3 with a suspicious network connection
C. Powerrshell Module Logging events
D. Windows Security event 4648 with explicit credentials
Answer:"
What is the most reliable indicator of a successful brute-force attack in Linux authentication logs?,"('Large number of sequential failed logins from the same IP', 'Failed logins outside normal business hours', 'Logins for disabled accounts', ""Logins immediately followed by 'sudo' usage"")",D,gpt-4,A,"What is the most reliable indicator of a successful brute-force attack in Linux authentication logs?
A. Large number of sequential failed logins from the same IP
B. Failed logins outside normal business hours
C. Logins for disabled accounts
D. Logins immediately followed by 'sudo' usage
Answer:"
What is the best way to determine if a suspicious executable has been run on any endpoints using osquery?,"(""Search for the file hash in the 'hash' table"", ""Query the 'processes' table for the executable name"", ""Check the 'autoexec' table for references to the path"", ""Review the 'logged_in_users' table around the creation timestamp"")",B,gpt-4,B,"What is the best way to determine if a suspicious executable has been run on any endpoints using osquery?
A. Search for the file hash in the 'hash' table
B. Query the 'processes' table for the executable name
C. Check the 'autoexec' table for references to the path
D. Review the 'logged_in_users' table around the creation timestamp
Answer:"
You're investigating a malware infection on a Linux server. Which directory is most likely to contain persistence mechanisms?,"('/etc/init.d/', '/var/tmp/', '/home/', '/usr/local/bin/')",A,gpt-4,A,"You're investigating a malware infection on a Linux server. Which directory is most likely to contain persistence mechanisms?
A. /etc/init.d/
B. /var/tmp/
C. /home/
D. /usr/local/bin/
Answer:"
What is the most reliable indicator of data exfiltration in Zeek HTTP logs?,"('POST requests with large request bodies', 'Responses with 404 status codes', 'Requests to rare user agents', 'Requests to IP-based URLs')",A,gpt-4,A,"What is the most reliable indicator of data exfiltration in Zeek HTTP logs?
A. POST requests with large request bodies
B. Responses with 404 status codes
C. Requests to rare user agents
D. Requests to IP-based URLs
Answer:"
You've found a suspicious script on a compromised Linux host. What's the best way to determine how it was executed?,"(""Check '.bash_history' files for references to the script"", ""Review 'security-enhanced Linux' (SELinux) logs"", ""Analyze 'systemd' service unit files"", ""Search 'auditd' logs for 'execve' system calls including the path"")",D,gpt-4,D,"You've found a suspicious script on a compromised Linux host. What's the best way to determine how it was executed?
A. Check '.bash_history' files for references to the script
B. Review 'security-enhanced Linux' (SELinux) logs
C. Analyze 'systemd' service unit files
D. Search 'auditd' logs for 'execve' system calls including the path
Answer:"
What's the best source of evidence to detect use of stolen credentials in AWS CloudTrail logs?,"('ConsoleLogin events from unexpected countries', 'GetUser API calls from unfamiliar IP ranges', 'Failed authentication events for IAM roles', 'AccessDenied errors for S3 bucket policy violations')",A,gpt-4,A,"What's the best source of evidence to detect use of stolen credentials in AWS CloudTrail logs?
A. ConsoleLogin events from unexpected countries
B. GetUser API calls from unfamiliar IP ranges
C. Failed authentication events for IAM roles
D. AccessDenied errors for S3 bucket policy violations
Answer:"
You're investigating a phishing email that delivered a malicious attachment. What's the best way to identify who opened the file using ELK?,"(""Search Packetbeat for flows to the attacker's C2 domain"", 'Check Metricbeat for process creation events', 'Review Filebeat logs for the attachment hash', 'Analyze Winlogbeat for file access events by user')",D,gpt-4,D,"You're investigating a phishing email that delivered a malicious attachment. What's the best way to identify who opened the file using ELK?
A. Search Packetbeat for flows to the attacker's C2 domain
B. Check Metricbeat for process creation events
C. Review Filebeat logs for the attachment hash
D. Analyze Winlogbeat for file access events by user
Answer:"
What's the most efficient way to determine if a host has connected to a known malicious IP using osquery?,"(""Query the 'etc_hosts' table for the IP"", ""Search the 'arp_cache' table for the IP MAC address"", ""Check the 'interface_details' table for the IP subnet"", ""Review the 'process_open_sockets' table for connections to the IP"")",D,gpt-4,D,"What's the most efficient way to determine if a host has connected to a known malicious IP using osquery?
A. Query the 'etc_hosts' table for the IP
B. Search the 'arp_cache' table for the IP MAC address
C. Check the 'interface_details' table for the IP subnet
D. Review the 'process_open_sockets' table for connections to the IP
Answer:"
You need to analyze a malware sample that exploits a recent vulnerability. What's the safest way to do this?,"('Run the malware in a fully-patched virtual machine', 'Upload the sample to VirusTotal for analysis', 'Perform static code analysis in IDA Pro', 'Execute the malware in a containerized sandbox environment')",D,gpt-4,D,"You need to analyze a malware sample that exploits a recent vulnerability. What's the safest way to do this?
A. Run the malware in a fully-patched virtual machine
B. Upload the sample to VirusTotal for analysis
C. Perform static code analysis in IDA Pro
D. Execute the malware in a containerized sandbox environment
Answer:"
What's the best source of evidence to identify privilege escalation on a Windows host?,"(""4672 events for 'Special Logon' by unauthorized users"", '4720 events for user account creation', '4732 events for addition of users to sensitive groups', '4728 events for changes to user account passwords')",C,gpt-4,C,"What's the best source of evidence to identify privilege escalation on a Windows host?
A. 4672 events for 'Special Logon' by unauthorized users
B. 4720 events for user account creation
C. 4732 events for addition of users to sensitive groups
D. 4728 events for changes to user account passwords
Answer:"
"During incident response, you identify a compromised privileged account. What's the first step to contain the breach?","('Reset the account password', 'Disable the account', ""Revoke the account's privileged access"", ""Force a logout of all the account's sessions"")",D,gpt-4,B,"During incident response, you identify a compromised privileged account. What's the first step to contain the breach?
A. Reset the account password
B. Disable the account
C. Revoke the account's privileged access
D. Force a logout of all the account's sessions
Answer:"
You find an unauthorized 'SUID' binary on a compromised Linux host. What's the best way to determine how it was exploited?,"('Check shell history files for invocations of the binary', ""Analyze 'auditd' logs for 'execve' system calls of the binary"", ""Review 'sudo' logs for invocations of the binary"", 'Search application logs for references to the binary path')",B,gpt-4,B,"You find an unauthorized 'SUID' binary on a compromised Linux host. What's the best way to determine how it was exploited?
A. Check shell history files for invocations of the binary
B. Analyze 'auditd' logs for 'execve' system calls of the binary
C. Review 'sudo' logs for invocations of the binary
D. Search application logs for references to the binary path
Answer:"
What's the most reliable way to detect data staging on a Windows host prior to exfiltration?,"(""Monitor for large files written to 'AppData' directories"", 'Detect creation of archives with password protection', 'Alert on accumulation of files in OS-default temp directories', 'Compare disk write volume to baseline')",C,gpt-4,D,"What's the most reliable way to detect data staging on a Windows host prior to exfiltration?
A. Monitor for large files written to 'AppData' directories
B. Detect creation of archives with password protection
C. Alert on accumulation of files in OS-default temp directories
D. Compare disk write volume to baseline
Answer:"
You suspect an attacker has modified critical system files on a Linux server. What's the best way to verify file integrity?,"('Compare file hashes to a known-good baseline', 'Check file modification timestamps against package manager logs', 'Verify file permissions against the system security policy', ""Review 'auditd' logs for file modification events"")",A,gpt-4,A,"You suspect an attacker has modified critical system files on a Linux server. What's the best way to verify file integrity?
A. Compare file hashes to a known-good baseline
B. Check file modification timestamps against package manager logs
C. Verify file permissions against the system security policy
D. Review 'auditd' logs for file modification events
Answer:"
What's the best way to detect an attacker pivoting through a compromised Windows host using ELK?,"('Analyze Packetbeat for unusual network connections', 'Search Winlogbeat for 4624 logon events from other hosts', 'Review Metricbeat for process activity by the attacker', 'Correlate Filebeat logs across hosts for attacker TTPs')",B,gpt-4,A,"What's the best way to detect an attacker pivoting through a compromised Windows host using ELK?
A. Analyze Packetbeat for unusual network connections
B. Search Winlogbeat for 4624 logon events from other hosts
C. Review Metricbeat for process activity by the attacker
D. Correlate Filebeat logs across hosts for attacker TTPs
Answer:"
You need to investigate a potential 'pass-the-ticket' attack. What's the best source of evidence in Windows event logs?,"('4768 events for Kerberos authentication', '4769 events for Kerberos service ticket requests', '4771 events for Kerberos pre-authentication failures', '4776 events for Kerberos ticket validation')",B,gpt-4,B,"You need to investigate a potential 'pass-the-ticket' attack. What's the best source of evidence in Windows event logs?
A. 4768 events for Kerberos authentication
B. 4769 events for Kerberos service ticket requests
C. 4771 events for Kerberos pre-authentication failures
D. 4776 events for Kerberos ticket validation
Answer:"
What's the best way to detect persistence via a cron job on a compromised Linux host?,"(""Review user-specific crontabs in '/var/spool/cron/'"", ""Check the system-wide crontab in '/etc/crontab'"", ""Analyze the '/etc/cron.d/' directory contents"", 'Search shell history files for crontab commands')",B,gpt-4,A,"What's the best way to detect persistence via a cron job on a compromised Linux host?
A. Review user-specific crontabs in '/var/spool/cron/'
B. Check the system-wide crontab in '/etc/crontab'
C. Analyze the '/etc/cron.d/' directory contents
D. Search shell history files for crontab commands
Answer:"
"During an investigation, you find a malicious Windows service. What's the best way to determine its purpose?","(""Analyze service properties with 'sc.exe qc'"", 'Check strings in the service executable', 'Review service event logs', 'Monitor child processes of the service')",C,gpt-4,B,"During an investigation, you find a malicious Windows service. What's the best way to determine its purpose?
A. Analyze service properties with 'sc.exe qc'
B. Check strings in the service executable
C. Review service event logs
D. Monitor child processes of the service
Answer:"
What's the most reliable indicator of command and control traffic in Zeek DNS logs?,"('High volume of requests to a single domain', 'Requests with long query strings', ""Use of rare record types like 'NULL'"", 'Frequent requests to newly-registered domains')",C,gpt-4,C,"What's the most reliable indicator of command and control traffic in Zeek DNS logs?
A. High volume of requests to a single domain
B. Requests with long query strings
C. Use of rare record types like 'NULL'
D. Frequent requests to newly-registered domains
Answer:"
You're hunting for evidence of lateral movement using SMB in Zeek logs. What's the best approach?,"(""Search for 'smb_files.log' entries with large read sizes"", ""Review 'dce_rpc.log' for remote execution methods"", ""Check 'ntlm.log' for admin account usage"", ""Analyze 'smb_mapping.log' for C$ share access"")",D,gpt-4,D,"You're hunting for evidence of lateral movement using SMB in Zeek logs. What's the best approach?
A. Search for 'smb_files.log' entries with large read sizes
B. Review 'dce_rpc.log' for remote execution methods
C. Check 'ntlm.log' for admin account usage
D. Analyze 'smb_mapping.log' for C$ share access
Answer:"
What's the best indicator of malware attempting to evade detection on a Linux host?,"('Unusual child processes of common applications', 'Processes with randomly-generated names', 'Processes executing from temporary filesystem locations', 'Low CPU and memory usage by suspicious processes')",C,gpt-4,C,"What's the best indicator of malware attempting to evade detection on a Linux host?
A. Unusual child processes of common applications
B. Processes with randomly-generated names
C. Processes executing from temporary filesystem locations
D. Low CPU and memory usage by suspicious processes
Answer:"
You've discovered an attacker backdoor on a critical server. What's the most important step before reimaging?,"('Collect a memory dump', 'Run a virus scan', 'Identify persistence mechanisms', 'Check file modifications against a baseline')",A,gpt-4,A,"You've discovered an attacker backdoor on a critical server. What's the most important step before reimaging?
A. Collect a memory dump
B. Run a virus scan
C. Identify persistence mechanisms
D. Check file modifications against a baseline
Answer:"
What's the best source of evidence to detect an attacker dumping credentials on a Windows host?,"('Sysmon Event ID 10 for LSASS process access', '4648 events for explicit credential use', '4657 events for kernel objects access violations', '4663 events for sensitive file access')",A,gpt-4,A,"What's the best source of evidence to detect an attacker dumping credentials on a Windows host?
A. Sysmon Event ID 10 for LSASS process access
B. 4648 events for explicit credential use
C. 4657 events for kernel objects access violations
D. 4663 events for sensitive file access
Answer:"
You need to determine an attacker's lateral movement path through your network. What's the best approach using ELK?,"('Analyze Packetbeat flow data for attacker source IPs', 'Correlate Filebeat authentications across hosts', 'Search Winlogbeat for service creation events', 'Review Metricbeat for unusual binary executions')",B,gpt-4,B,"You need to determine an attacker's lateral movement path through your network. What's the best approach using ELK?
A. Analyze Packetbeat flow data for attacker source IPs
B. Correlate Filebeat authentications across hosts
C. Search Winlogbeat for service creation events
D. Review Metricbeat for unusual binary executions
Answer:"
What's the best way to detect data exfiltration over DNS using Zeek logs?,"(""Search for large response sizes in 'dns.log'"", ""Review 'conn.log' for DNS flows with high bytes transferred"", ""Check 'files.log' for DNS query result contents"", ""Analyze 'dpd.log' for DNS protocol anomalies"")",C,gpt-4,A,"What's the best way to detect data exfiltration over DNS using Zeek logs?
A. Search for large response sizes in 'dns.log'
B. Review 'conn.log' for DNS flows with high bytes transferred
C. Check 'files.log' for DNS query result contents
D. Analyze 'dpd.log' for DNS protocol anomalies
Answer:"
"During an investigation, you find an attacker-modified '/etc/passwd' file. What's the best way to determine when it was changed?","(""Check the file's 'mtime' with 'stat'"", ""Review 'lastlog' for user creation times"", ""Analyze 'auditd' logs for modification events"", ""Search shell history for 'passwd' commands"")",C,gpt-4,A,"During an investigation, you find an attacker-modified '/etc/passwd' file. What's the best way to determine when it was changed?
A. Check the file's 'mtime' with 'stat'
B. Review 'lastlog' for user creation times
C. Analyze 'auditd' logs for modification events
D. Search shell history for 'passwd' commands
Answer:"
What's the most reliable indicator of a webshell on an IIS server?,"(""Unexpected '.aspx' files in web directories"", 'POST requests with large base64 parameters', 'Unusual user agent strings in IIS logs', 'Frequent 500 status codes in IIS logs')",B,gpt-4,A,"What's the most reliable indicator of a webshell on an IIS server?
A. Unexpected '.aspx' files in web directories
B. POST requests with large base64 parameters
C. Unusual user agent strings in IIS logs
D. Frequent 500 status codes in IIS logs
Answer:"
You're investigating an incident on AWS involving unauthorized EC2 instances. What's the best way to determine their purpose?,"('Analyze CloudTrail for API calls from the instances', ""Review VPC Flow Logs for the instances' network activity"", 'Check GuardDuty for findings related to the instances', 'Correlate instance launch times with other events')",B,gpt-4,B,"You're investigating an incident on AWS involving unauthorized EC2 instances. What's the best way to determine their purpose?
A. Analyze CloudTrail for API calls from the instances
B. Review VPC Flow Logs for the instances' network activity
C. Check GuardDuty for findings related to the instances
D. Correlate instance launch times with other events
Answer:"
What's the best source of evidence to detect privilege abuse by an AWS IAM user?,"('Access denied errors in CloudTrail', 'API calls to attach admin policies in CloudTrail', 'Failed console logins in CloudTrail', 'Unusual regions for API calls in CloudTrail')",B,gpt-4,B,"What's the best source of evidence to detect privilege abuse by an AWS IAM user?
A. Access denied errors in CloudTrail
B. API calls to attach admin policies in CloudTrail
C. Failed console logins in CloudTrail
D. Unusual regions for API calls in CloudTrail
Answer:"
You suspect an insider has stolen sensitive data from an S3 bucket. What's the best way to investigate using CloudTrail?,"(""Review 'GetObject' API calls by the user"", ""Check for 'PutACL' API calls on the bucket"", ""Analyze 'ListBucket' API calls for enumeration"", ""Search for 'DeleteObject' API calls by the user"")",A,gpt-4,A,"You suspect an insider has stolen sensitive data from an S3 bucket. What's the best way to investigate using CloudTrail?
A. Review 'GetObject' API calls by the user
B. Check for 'PutACL' API calls on the bucket
C. Analyze 'ListBucket' API calls for enumeration
D. Search for 'DeleteObject' API calls by the user
Answer:"
What's the best indicator of an attacker disabling defenses on a Windows host?,"('Stopping of antivirus services', 'Uninstallation of EDR agents', 'Deletion of local security policies', 'Termination of security monitoring processes')",B,gpt-4,D,"What's the best indicator of an attacker disabling defenses on a Windows host?
A. Stopping of antivirus services
B. Uninstallation of EDR agents
C. Deletion of local security policies
D. Termination of security monitoring processes
Answer:"
You've identified a spike in network traffic from a server. What's the best Zeek log source to investigate further?,"('conn.log for connections to suspicious IPs', 'http.log for POST requests with large bodies', 'files.log for transfers of sensitive data', 'notice.log for protocol analyzer alerts')",A,gpt-4,A,"You've identified a spike in network traffic from a server. What's the best Zeek log source to investigate further?
A. conn.log for connections to suspicious IPs
B. http.log for POST requests with large bodies
C. files.log for transfers of sensitive data
D. notice.log for protocol analyzer alerts
Answer:"
"During an investigation of a cloud incident, you find an attacker-created IAM access key. What's the best way to determine its permissions?","('Review its IAM policy attachments', 'Check its last-used timestamp', 'Analyze API calls made with the key', ""Test the key with 'get-caller-identity'"")",C,gpt-4,A,"During an investigation of a cloud incident, you find an attacker-created IAM access key. What's the best way to determine its permissions?
A. Review its IAM policy attachments
B. Check its last-used timestamp
C. Analyze API calls made with the key
D. Test the key with 'get-caller-identity'
Answer:"
What's the best source of evidence to identify an attacker's initial entry point on a Windows network?,"('Authentication events to perimeter servers', 'Process creation events on workstations', ""Logon events with 'Type 3' on domain controllers"", 'Network connection events to external IPs')",A,gpt-4,A,"What's the best source of evidence to identify an attacker's initial entry point on a Windows network?
A. Authentication events to perimeter servers
B. Process creation events on workstations
C. Logon events with 'Type 3' on domain controllers
D. Network connection events to external IPs
Answer:"
You're investigating a compromised Windows endpoint. What's the best way to determine attacker remote access?,"('Review Sysmon Event ID 3 for network connections', 'Check Security event 4624 for remote desktop logins', 'Analyze Sysmon Event ID 13 for registry changes', 'Search Security event 5156 for firewall changes')",A,gpt-4,B,"You're investigating a compromised Windows endpoint. What's the best way to determine attacker remote access?
A. Review Sysmon Event ID 3 for network connections
B. Check Security event 4624 for remote desktop logins
C. Analyze Sysmon Event ID 13 for registry changes
D. Search Security event 5156 for firewall changes
Answer:"
What's the most reliable indicator of attacker access to AWS secrets in CloudTrail?,"('GetSecretValue API calls by unfamiliar principals', 'DeleteSecret API calls for critical secrets', 'Secrets Manager authentication failures', 'PutSecret API calls without encryption parameters')",A,gpt-4,A,"What's the most reliable indicator of attacker access to AWS secrets in CloudTrail?
A. GetSecretValue API calls by unfamiliar principals
B. DeleteSecret API calls for critical secrets
C. Secrets Manager authentication failures
D. PutSecret API calls without encryption parameters
Answer:"
